签名,渠道,广告账户ID,广告计划ID,抖音号名称（id）,平台素材ID,素材预览,素材名称,日期,素材标签,上传人,投放产品,素材投放产品,代理商,来源,生产属性,市场员,首次消耗时间,已上线投放天数,消耗,成交GMV,成交单量,ROI,CPM（千次曝光成本）,千次有效观看成本,CPA,CTR,CVR,3s播放率,千次曝光成交率,千次观看成交
0f7c09011f8083c73e0c8aff5bed1ec3,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/0f7c09011f8083c73e0c8aff5bed1ec3.mp4,20260527-猿辅导高中双科-实拍-买物理送数学-小贵-618-张焱-bj冷一丁-文涵立ec.mp4,-,,,199元高中双科提分课,199元高中双科提分课,荔枝,其他,0,wangjiananbj03,2026/6/2,48,0.64,0,0,0,160,0,0,0.00%,0.00%,-,0,0
b68d91c078080d079580ad67460a84ab,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/b68d91c078080d079580ad67460a84ab.mp4,0529-9物-玄武-李博-A5-B2-yfdwl0529h2浩10-锴-鑫-超-首,-,,,9元高中物理李博,9元高中物理李博,玄武,其他,0,wangruixuebj01,2026/6/13,37,151.38,0,0,0,105.79,5406.43,0,2.31%,0%,-,0,0
535fd3abbfc148bcf21cf9ad71190415,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/535fd3abbfc148bcf21cf9ad71190415.mp4,20260624-9物-代理-启航-李博-【b1-p6-a3-75-0630】-A5-B5-有-2,-,,,9元高中物理李博,9元高中物理李博,启航,代理商,0,wangruixuebj01,2026/7/10,10,0.08,0,0,0,6.15,0,0,0.00%,0.00%,-,0,0
87512d547d481635cfd020e32a81efd7,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/87512d547d481635cfd020e32a81efd7.mp4,0716-199双科-申坤-李博-李天-张佳乐-A1-B6-无-01,-,,,199元高中双科提分课,199元高中双科提分课,申坤,其他,0,wangjiananbj03,2026/7/17,3,0,0,0,0,0,0,0,0.00%,0.00%,-,0,0
2497e117ee5b7be6b151ade16a7b7fd9,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/2497e117ee5b7be6b151ade16a7b7fd9.mp4,20260604-猿辅导高中双科-实拍-买数学送物理-来得及-唐欣悦-bj于靖-李文静ec-视频号二创-3,-,,,199元高中双科提分课,199元高中双科提分课,荔枝,其他,0,wangjiananbj03,2026/6/6,44,106.22,0,0,0,96.83,10622,0,0.91%,0%,-,0,0
ff68f3e17b76d335ec1cf59e1bb01587,-,-,-,-,-,https://img-pub.oss-cn-beijing-internal.aliyuncs.com/19f5ae6de664881.mp4,20260611-9物-代理-启航-李博-【b1-p6-a1-61】-A5-B5-有-2,-,,,9元高中物理李博,9元高中物理李博,启航,代理商,0,wangruixuebj01,2026/7/15,5,318.53,0,0,0,82.03,4754.18,0,2.03%,0%,-,0,0
2ee70c7a620a48720e8a506ca0144551,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/2ee70c7a620a48720e8a506ca0144551.mp4,0703-199双科-申坤-李博-李天-姚恒-A2-B4-无-02,-,,,199元高中双科提分课,199元高中双科提分课,申坤,其他,0,wangjiananbj03,2026/7/6,14,0.07,0,0,0,7,0,0,0.00%,0.00%,-,0,0
6a52cc01a5fea4ed51c176c6b4352511,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/6a52cc01a5fea4ed51c176c6b4352511.mp4,20260711-猿辅导高中双科-实拍-千川-专家分享-买物送数-三年-通用-买物送数-求你啊-常文茜-bj郭铭泽-李文静yc-5,-,,,199元高中双科提分课,199元高中双科提分课,自投放,其他,0,wangjiananbj03,2026/7/16,4,0.01,0,0,0,1.67,0,0,0.00%,0.00%,-,0,0
cd0f93c94a05ef603aec1e300c75f71c,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/cd0f93c94a05ef603aec1e300c75f71c.mp4,20260630-猿辅导高中双科-实拍-千川-分数痛点-买数学送物理-一起-张焱-bj冷一丁-裂变-张晓洁yc-1,-,,,199元高中双科提分课,199元高中双科提分课,荔枝,其他,0,wangjiananbj03,2026/7/16,4,0.28,0,0,0,31.11,0,0,0.00%,0.00%,-,0,0
a12b9bdc5e1160743cab5cc222c9c1ab,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/a12b9bdc5e1160743cab5cc222c9c1ab.mp4,一键修复_20260619-猿辅导高中双科-实拍-千川-分数痛点-买数学送物理-能上-张焱-dr小五-裂变-张晓洁yc-4.mp4,-,,,199元高中双科提分课,199元高中双科提分课,荔枝,其他,0,wangjiananbj03,2026/6/19,31,176.78,398,2,2.25,78.29,4311.71,88.39,1.82%,4.88%,-,0.89,9707.32
4f4268981ade2c413624ee8b3d6bfbed,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/4f4268981ade2c413624ee8b3d6bfbed.mp4,99双科-1-0108-12,-,,,199元高中双科提分课,199元高中双科提分课,自投放,其他,0,wangjiananbj03,2026/7/9,11,300.21,0,0,0,103.24,17659.41,0,1.34%,0%,-,0,0
f1bed797835e977efdd3fc7caffdf5c6,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/f1bed797835e977efdd3fc7caffdf5c6.mp4,0610-199双科-自产-自产主-李博-视觉锤-子衿-A3-B1-无-3.mp4,-,,,199元高中双科提分课,199元高中双科提分课,荔枝,其他,0,wangjiananbj03,2026/6/19,31,0.01,0,0,0,10,10,0,100.00%,0.00%,-,0,0
c5e19dc6396de69b4cd64ca43fee1c1f,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/c5e19dc6396de69b4cd64ca43fee1c1f.mp4,0714-199双科-申坤-李博-李天-卞俊洁-A1-B4-有-02,-,,,199元高中双科提分课,199元高中双科提分课,申坤,其他,0,wangjiananbj03,2026/7/14,6,66.91,0,0,0,6.32,9558.57,0,0.13%,0%,-,0,0
ba49c37c59056bb7bcba8bec777a2e9a,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/ba49c37c59056bb7bcba8bec777a2e9a.mp4,0703-199双科-申坤-李博-李天-卞俊洁-A2-B4-无-27,-,,,199元高中双科提分课,199元高中双科提分课,申坤,其他,0,wangjiananbj03,2026/7/5,15,66650.98,25273,127,0.38,151.19,23158.78,524.81,0.98%,2.95%,-,0.29,8781.45
7599a2786a6a81e36fab7bae2950c335,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/7599a2786a6a81e36fab7bae2950c335.mp4,20260624-猿辅导高中双科-实拍-千川-买数送物-199学三年--唐欣悦-bj于靖--张晓洁yc-1（前贴改）.mp4,-,,,199元高中双科提分课,199元高中双科提分课,荔枝,其他,0,wangjiananbj03,2026/6/27,23,0.73,0,0,0,121.67,0,0,0.00%,0.00%,-,0,0
e72bc47ee2f797d3a8ec0e42a083cb45,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/e72bc47ee2f797d3a8ec0e42a083cb45.mp4,20260627-猿辅导高中双科-实拍-视频号-ip李博-买物送数-199学三年-毫无困难-常文茜-IP李博-裂变-詹铠任yc.mp4,-,,,199元高中双科提分课,199元高中双科提分课,荔枝,其他,0,wangjiananbj03,2026/7/8,12,0.47,0,0,0,27.65,0,0,0.00%,0.00%,-,0,0
0eff12057c6f01414217bb3b7a0ddf39,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/0eff12057c6f01414217bb3b7a0ddf39.mp4,20260704-猿辅导高中双科-实拍-千川-活动-买数送物-打算-张焱-bj于静-二创-叶俊泽ec-10.mp4,-,,,199元高中双科提分课,199元高中双科提分课,荔枝,其他,0,wangjiananbj03,2026/7/9,11,1.27,0,0,0,66.84,1270,0,5.26%,0.00%,-,0,0
d0f44eac07faf4fd3ee5228637fea88d,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/d0f44eac07faf4fd3ee5228637fea88d.mp4,20260708-猿辅导高中双科-实拍-活动-不是-张焱-bj毕娇-裂变-张晓洁yc-1,-,,,199元高中双科提分课,199元高中双科提分课,荔枝,代理商,0,wangjiananbj03,2026/7/9,11,53.18,0,0,0,122.53,53180,0,0.46%,0%,-,0,0
5a302eb09a381a61f9df1677e34c12f9,-,-,-,-,-,https://img-pub.oss-cn-beijing-internal.aliyuncs.com/19f1278fc715dcb.mp4,9元视频1152-0620-9物-代理-十人-李博-jzt-bmqr-A2-B2-pcc-2,-,,,9元高中物理李博,9元高中物理李博,十人,代理商,0,wangruixuebj01,2026/6/30,20,19.13,0,0,0,102.3,9565,0,0.53%,0%,-,0,0
8effa350cfd81550c142d4f6bf22391b,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/8effa350cfd81550c142d4f6bf22391b.mp4,0714-199双科-申坤-李博-李天-卞俊洁-A2-B4-有-02,-,,,199元高中双科提分课,199元高中双科提分课,申坤,其他,0,wangjiananbj03,2026/7/15,5,50.52,0,0,0,95.68,12630,0,0.95%,0%,-,0,0
5fd43734c6d3db3e304c141f344b534d,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/5fd43734c6d3db3e304c141f344b534d.mp4,20260612-猿辅导高中双科-实拍-千川-活动-五科-199学三年-不要-唐欣悦-詹铠任-cd鲨鱼-叶俊泽yc-1-前贴2.mp4,-,,,199元高中双科提分课,199元高中双科提分课,荔枝,代理商,0,wangjiananbj03,2026/6/18,32,1.34,0,0,0,70.53,1340,0,5.26%,0.00%,-,0,0
57ce7052e248b17cbda79731bc92c0a4,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/57ce7052e248b17cbda79731bc92c0a4.mp4,20260626-猿辅导高中双科-图-红花-张焱拼实拍-活动-买数送物-全年-跟你-张焱-cd鲨鱼- 李文静ec-视频号二创-1.mp4,-,,,199元高中双科提分课,199元高中双科提分课,荔枝,其他,0,wangjiananbj03,2026/7/1,19,690.77,398,2,0.58,102.4,4514.84,345.39,2.27%,1.31%,-,0.3,2601.31
bdc72f395f1b996c9ca488bab2a5eb3a,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/bdc72f395f1b996c9ca488bab2a5eb3a.mp4,20260618-9物-代理-启航-李博-【b1-p6-a1-54】-A5-B5-有-2,-,,,9元高中物理李博,9元高中物理李博,启航,代理商,0,wangruixuebj01,-,-,0,0,0,0,0,0,0,0.00%,0.00%,-,0,0
524bc293a03758b51c3d4e178da21d8f,-,-,-,-,-,https://img-pub.oss-cn-beijing-internal.aliyuncs.com/19f5ae9927f43d7.mp4,20260708-9物-代理-启航-李博-【b1-p6-j9-39】,-,,,9元高中物理李博,9元高中物理李博,启航,代理商,0,wangruixuebj01,2026/7/15,5,68.59,0,0,0,62.07,3610,0,1.72%,0%,-,0,0
484d5981098dddcf295c9dda32dea2c4,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/484d5981098dddcf295c9dda32dea2c4.mp4,9元视频990-0528拓1-9物-十人-bwxy-ylb-A2-B4-jzzy-jzmj-pwjl-4,-,,,9元高中物理李博,9元高中物理李博,十人,代理商,0,wangruixuebj01,2026/5/29,52,34.16,0,0,0,163.44,17080,0,2.39%,0%,-,0,0
