签名,渠道,广告账户ID,广告计划ID,抖音号名称（id）,平台素材ID,素材预览,素材名称,日期,素材标签,上传人,投放产品,素材投放产品,代理商,来源,生产属性,市场员,首次消耗时间,已上线投放天数,消耗,成交GMV,成交单量,ROI,CPM（千次曝光成本）,千次有效观看成本,CPA,CTR,CVR,3s播放率,千次曝光成交率,千次观看成交
8bf3f18bcbeca133cc5f7f5d2f0a0e7b,视频号直播,81409581*,1.11935E+11,猿辅导-高阶数学全年规划(sphWFyqTc0dbQpn),43407988346*,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/8bf3f18bcbeca133cc5f7f5d2f0a0e7b.mp4,99双科-1-0108-13,-,,,199元高中双科提分课,199元高中双科提分课,自投放,其他,0,wangjiananbj03,2026/7/11,13,45.47,0,0,0,27.02,3497.69,0,1.90%,0%,-,0,0
b6275aaaadb3799b3449bc00fe5dd493,视频号直播,75450463*,1.10047E+11,猿辅导-高阶数学全年规划(sphWFyqTc0dbQpn),43839418667*,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/b6275aaaadb3799b3449bc00fe5dd493.mp4,20260626-猿辅导高中双科-混剪-视频号-图-张焱-张晓洁yc-12.1 (1),-,,,199元高中双科提分课,199元高中双科提分课,荔枝,其他,0,wangjiananbj03,2026/7/16,8,149.06,0,0,0,138.15,49686.67,0,0.28%,0%,-,0,0
23314f6f9d4ffb8504ede3cba898ecdb,视频号直播,75450472*,1.18346E+11,猿辅导-高阶数学全年规划(sphWFyqTc0dbQpn),41169738582*,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/23314f6f9d4ffb8504ede3cba898ecdb.mp4,20260611-猿辅导高中双科-实拍-买物理送数学-选哪-张焱-bj于俏-李文静ec-视频号二创-1,-,,,199元高中双科提分课,199元高中双科提分课,荔枝,代理商,0,wangjiananbj03,2026/6/12,42,315.13,398,2,1.26,83.24,13701.3,157.57,0.82%,6.45%,-,0.53,17304.35
86490bd591e43649241fc34d76346107,视频号直播,75450463*,1.10047E+11,猿辅导-高阶数学全年规划(sphWFyqTc0dbQpn),43841003317*,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/86490bd591e43649241fc34d76346107.mp4,20260710-猿辅导高中双科-实拍-千川-效果展示-高二-买数送物-不推-张焱-bj宋钦冲--岳久鸿yc-1,-,,,199元高中双科提分课,199元高中双科提分课,荔枝,代理商,0,wangjiananbj03,2026/7/16,8,117.86,0,0,0,61.04,29465,0,0.36%,0%,-,0,0
f76aa4be40ff671eae8b79de34e99d11,视频号直播,75450463*,1.18963E+11,猿辅导-高阶数学全年规划(sphWFyqTc0dbQpn),44375019570*,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/f76aa4be40ff671eae8b79de34e99d11.mp4,20260717-猿辅导高中双科-实拍-视频号-暑假规划-看博哥-唐欣悦-李博-高二高三-李文静ec-二创-6,-,,,199元高中双科提分课,199元高中双科提分课,荔枝,代理商,0,wangjiananbj03,2026/7/22,2,15.35,0,0,0,82.09,15350,0,0.53%,0%,-,0,0
8a46442099e323ae3dba51ea255c115a,视频号直播,76639091*,1.06137E+11,博哥讲高阶推理(sphZRsKN9EuhFGY),40671246407*,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/8a46442099e323ae3dba51ea255c115a.mp4,9元视频10009-0113-十人-李博实拍-2-D-否-jjsx+bmqr+plpy,-,,,9元高中物理李博,9元高中物理李博,十人,其他,0,wangruixuebj01,2026/6/5,49,0.27,0,0,0,18,0,0,0.00%,0.00%,-,0,0
4d7288408f2b9868597eb3e3f31318b8,视频号直播,75450463*,1.10047E+11,猿辅导-高阶数学全年规划(sphWFyqTc0dbQpn),44022961181*,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/4d7288408f2b9868597eb3e3f31318b8.mp4,20260709-猿辅导高中双科-实拍-暑假规划-买数送物-高二+高三-买数送物-请退掉-高二高三-李莹莹-bj李腾飞-叶俊泽yc-5,-,,,199元高中双科提分课,199元高中双科提分课,荔枝,其他,0,wangjiananbj03,2026/7/17,7,22.9,0,0,0,94.24,22900,0,0.41%,0%,-,0,0
84f0925c97460a314b8af509b902159a,视频号直播,84925943*,1.1253E+11,博哥讲高阶推理(sphZRsKN9EuhFGY),42731547418*,https://tutor-online1.fbcontent.cn/growth/internal-material/1782814055472.84f0925c97460a314b8af509b902159a.mov,0630-9物-自产-自产二-李博-巽阳YS-子衿-A6-B1B2-有-20-魏怡混剪-3,-,,魏怡,9元高中物理李博,9元高中物理李博,申坤,自有,自产混剪,wangruixuebj01,2026/7/2,22,1.81,0,0,0,24.13,1810,0,1.33%,0%,-,0,0
188145e8a0a2573ec41a43c60b4e651c,千川直播,1768027377634318*,0,北大李博-高阶数理提升(1489198449702201),7665204646362087465*,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/188145e8a0a2573ec41a43c60b4e651c.mp4,20260717-猿辅导高中双科-实拍-买物理送数学-再说-张焱-bj丁梓仟--高二高三-李文静ec-二创-7.mp4,-,,,199元高中双科提分课,199元高中双科提分课,荔枝,其他,0,wangjiananbj03,2026/7/22,2,0.51,0,0,0,36.43,510,0,7.14%,0.00%,-,0,0
188145e8a0a2573ec41a43c60b4e651c,千川直播,1768027377634318*,0,北大李博-高阶提升(8013746142),7665204646362087465*,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/188145e8a0a2573ec41a43c60b4e651c.mp4,20260717-猿辅导高中双科-实拍-买物理送数学-再说-张焱-bj丁梓仟--高二高三-李文静ec-二创-7.mp4,-,,,199元高中双科提分课,199元高中双科提分课,荔枝,其他,0,wangjiananbj03,2026/7/22,2,0.05,0,0,0,0,0,0,0.00%,0.00%,-,0,0
57b38ee5574a79139889b496c46ada86,视频号直播,75450472*,1.14089E+11,猿辅导-高阶数学全年规划(sphWFyqTc0dbQpn),43990417677*,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/57b38ee5574a79139889b496c46ada86.mp4,20260716-高中数物（高二升高三）-混剪-图-张凌-1,-,,,199元高中双科提分课,199元高中双科提分课,荔枝,其他,0,wangjiananbj03,2026/7/22,2,0.04,0,0,0,3.64,0,0,0.00%,0.00%,-,0,0
13a1f640ed4a45c092584187e6280350,视频号直播,75450463*,1.11789E+11,猿辅导-高阶数学全年规划(sphWFyqTc0dbQpn),40130028100*,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/13a1f640ed4a45c092584187e6280350.mp4,20260528-猿辅导高中双科-混剪-图-一粒-张焱---张晓洁yc-1,-,,,199元高中双科提分课,199元高中双科提分课,荔枝,其他,0,wangjiananbj03,2026/5/30,55,0,0,0,0,0,0,0,0.00%,0.00%,-,0,0
7af5ce060eefbb13af22c4ac5334e614,视频号直播,75017503*,97736138557,博哥讲高阶推理(sphZRsKN9EuhFGY),43858472620*,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/7af5ce060eefbb13af22c4ac5334e614.mp4,0715-9物-自产-自产主-李博-亿晨-子衿-A7-B1-无-4-娇-【AI】,-,,,9元高中物理李博,9元高中物理李博,玄武,代理商,0,wangruixuebj01,2026/7/16,8,20.93,0,0,0,91.4,4186,0,2.62%,0%,-,0,0
10c51a6b5479b8a4af88aca239793f7f,视频号直播,85154687*,1.18782E+11,猿辅导-高阶数学全年规划(sphWFyqTc0dbQpn),44346649209*,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/10c51a6b5479b8a4af88aca239793f7f.mp4,0720-199双科-申坤-李博-李天-卞俊洁-A1-B4-有-12,-,,,199元高中双科提分课,199元高中双科提分课,申坤,其他,0,wangjiananbj03,2026/7/22,2,18.28,0,0,0,26.42,3656,0,1.01%,0%,-,0,0
3fd981c609895bb74cb11a4245c1581e,视频号直播,75450472*,1.09431E+11,猿辅导-高阶数学全年规划(sphWFyqTc0dbQpn),41770530524*,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/3fd981c609895bb74cb11a4245c1581e.mp4,20260618-猿辅导高中数学-实拍-性价比-亏本-张焱-bj李赛-李文静ec-视频号二创-1,-,,,199元高中双科提分课,199元高中双科提分课,荔枝,其他,0,wangjiananbj03,2026/6/19,35,17.3,0,0,0,97.19,0,0,0.00%,0.00%,-,0,0
3d2d8115f53f0c9e9788fd0bc7596ea7,视频号直播,75450472*,1.18707E+11,猿辅导-高阶数学全年规划(sphWFyqTc0dbQpn),44280911603*,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/3d2d8115f53f0c9e9788fd0bc7596ea7.mp4,20260707-猿辅导高中双科-实拍-千川-活动-买数送物-冤大头-张焱-bj郭铭泽-裂变-张晓洁yc-3,-,,,199元高中双科提分课,199元高中双科提分课,荔枝,其他,0,wangjiananbj03,2026/7/22,2,0.04,0,0,0,20,0,0,0.00%,0.00%,-,0,0
62b22951542b966767fa43fcf5ade8ee,视频号直播,75450463*,1.10047E+11,猿辅导-高阶数学全年规划(sphWFyqTc0dbQpn),44023065089*,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/62b22951542b966767fa43fcf5ade8ee.mp4,20260709-猿辅导高中双科-实拍-6天提分-买数送物-通用-买数送物-小儿科-李莹莹-cd雪儿-岳久鸿-叶俊泽yc-6-前贴,-,,,199元高中双科提分课,199元高中双科提分课,荔枝,其他,0,wangjiananbj03,2026/7/18,6,24.85,0,0,0,33.4,0,0,0.13%,0%,-,0,0
ed7e557394ccf6acfd9b6679ca268c1f,视频号直播,81409581*,1.13306E+11,猿辅导-高阶数学全年规划(sphWFyqTc0dbQpn),42329800885*,https://tutor-online1.fbcontent.cn/growth/internal-material/1782289746395.ed7e557394ccf6acfd9b6679ca268c1f.mp4,0616-199双科-自产-自产主-王晶-曲中雨-小敏-A2-B4-有-3,-,,曲敏,199元高中双科提分课,199元高中双科提分课,自投放,自有,自产原创,wangjiananbj03,2026/6/25,29,39.96,0,0,0,168.61,19980,0,0.84%,0%,-,0,0
