素材id,视频名称,视频链接,投放情况,审核建议,素材评估,关联在投单元数,标签,消耗,展示数,点击数,点击率(%),平均点击单价(元),平均千次展现费用(元),转化数,转化成本,转化率(%),深度转化次数,深度转化成本,深度转化率(%)
"	7660186913555644470",0708引导-小敏-1.mp4,https://video-cn.oceanengine.com/121cbb49098ed7dd3e066f594b5bfb54/6a5e378a/tos-cn-ve-51/2bae3a7756eb456186673002a0168b64?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=675&bt=675&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZCBDL_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY3ODNnMzVkOWY0aTw4O2c0QGkzO2pwZ2tvdTo8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojNWE1MDBjYl8tMWFjMi41NGEjajVpMnFnXjM0YS0tZDBhc3M%3D&btag=80000e00010000&dy_q=1784386680&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260718225759C5211FA5A79021F03DEB&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核通过,--,5,--,138.93,7380,191,2.59,0.73,18.83,6,23.16,3.14,0,0,0
"	7660186951438139446",0708-引导-嘉丽-4.mp4,https://video-cn.oceanengine.com/e246f41b2247467bec264187e0d339d5/6a5e3789/tos-cn-ve-51/6095c2a4ab5e410694451d90ee690775?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=867&bt=867&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZCBDL_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZkNTplNGdnZDNmaWY5ZDw4QGlqb2ZvN2tvdTo8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojMGFfLzEwMV81MTNiMDMvLWEjYy1mZnFnXjM0YS0tZDAwc3M%3D&btag=80000e00010000&dy_q=1784386680&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260718225759C5211FA5A79021F03DEB&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核通过,--,11,--,4033.22,200122,4623,2.31,0.87,20.15,197,20.47,4.26,0,0,0
"	7660371884819709994",0709引导-小敏-3-1.mp4,https://video-cn.oceanengine.com/a89b7cceab920df274723cf651f0f65e/6a5e378f/tos-cn-ve-51/oQCICOsEIAQ1XVJqyGehPABcL93CBBAg4A4mQm?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=729&bt=729&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZCBDL_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY8PDVoZTNmOzdpOzc4OTRpQGlqNTxmOWtvZWs8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojYWIvMGNiMl40MTY2NDItM2EjMmxkZHFnbms0YS0tZDAvc3M%3D&btag=80000e00010000&dy_q=1784386680&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260718225759C5211FA5A79021F03DEB&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核通过,首发,4,--,143.47,6383,148,2.32,0.97,22.48,5,28.69,3.38,0,0,0
"	7660371894164914182",0708-引导-嘉丽-5.mp4,https://video-cn.oceanengine.com/dfe74f1e86ed703cf6a911f91bac48b4/6a5e377d/tos-cn-ve-51/owfebUfFnk0zGTZMBAhH3Ndqg4WA70AjtdEC5j?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=1212&bt=1212&cs=0&ds=6&ft=J9ThAGkHH_Myq8ZCBDL_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGYzNzM0Ojo6Zzc6ZTc7OWc5QGlqaHZlNGtvZms8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojLV4zMDUxYzY0MTM0LjEvL2EjczRoaHFnL2s0YS0tZDAvc3M%3D&btag=80000e00008000&dy_q=1784386680&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260718225759C5211FA5A79021F03DEB&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核通过,--,2,--,61.45,1476,19,1.29,3.23,41.63,1,61.45,5.26,0,0,0
"	7660371896212013110",0708-引导-嘉丽-3.mp4,https://video-cn.oceanengine.com/a31fd4db7723089b74ea6c31f9994652/6a5e378a/tos-cn-ve-51/o8q1rSmtB34JePzsjG93XIG9gVBMEQAR4lQmBA?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=497&bt=497&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZCBDL_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY1OGQ8M2U0NDdnZDhkNzU7QGlqOHM8O2tvZWs8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojYV9jNC00YzYvMV9iLjY0Y2EjXjJnZHFnbms0YS0tZDBhc3M%3D&btag=80000e00010000&dy_q=1784386680&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260718225759C5211FA5A79021F03DEB&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核通过,首发,7,--,377.68,28853,963,3.34,0.39,13.09,15,25.18,1.56,0,0,0
"	7660371908223402047",0709引导-小敏-5-1.mp4,https://video-cn.oceanengine.com/9f56e89ab0a57594ac13bd3d445246c1/6a5e3780/tos-cn-ve-51/ogKmuJs50BCwkPh8BJ3YGkQI4KAFegQWmAJ14E?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=1086&bt=1086&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZCBDL_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZkM2RmMzs8PGY0PGU8O2c8QGkzcGw1aGtvZms8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojXl80XjFjMl5iMTFfLi5eLmEjMmBiLnFnL2s0YS0tZDAwc3M%3D&btag=80000e00008000&dy_q=1784386680&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260718225759C5211FA5A79021F03DEB&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核通过,--,6,--,238.23,8487,190,2.24,1.25,28.07,10,23.82,5.26,0,0,0
"	7660371917899792420",0709引导-小敏-1-1.mp4,https://video-cn.oceanengine.com/4ca1df5fec854f3f42f8c59d69ef475c/6a5e378d/tos-cn-ve-51/oYwMZq7TgunNAgseqIRkCM6EDEAeNxVNBMAcx0?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=841&bt=841&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZCBDL_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZnOGZlZTo4aDM7Ojs1PDY6QGlqNmY7PGtvZms8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojXzNgMTItYTUwMTEwMGFhYWEjMC8ycXFnL2s0YS0tZDBhc3M%3D&btag=80000e00010000&dy_q=1784386680&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260718225759C5211FA5A79021F03DEB&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核通过,--,6,--,376.95,30952,1021,3.3,0.37,12.18,18,20.94,1.76,0,0,0
"	7660371924531937316",0708-引导-嘉丽-2.mp4,https://video-cn.oceanengine.com/93e4e72e2763cdca6357542d17bb2656/6a5e378f/tos-cn-ve-51/ogpaDTeZNDjVbuE4NgAxKRyTgAAqbLxW5veA6B?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=1689&bt=1689&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZCBDL_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZnZzo5OzszOjlnNDw2aDs7QGkzcHU1NWtvZWs8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojNWEzL2M1L15eMWMtLjVjYmEja2EzbHFnbms0YS0tZDAwc3M%3D&btag=80000e00010000&dy_q=1784386680&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260718225759C5211FA5A79021F03DEB&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核通过,首发,9,--,1054.01,54617,1150,2.11,0.92,19.3,58,18.17,5.04,0,0,0
"	7660371937247903787",0709引导-小敏-4-1.mp4,https://video-cn.oceanengine.com/556d0ad6299adc1a84a562f6e043ddc8/6a5e378b/tos-cn-ve-51/ooEW2vjGPdGq6Bl5PF7f0BezQe20IMpYCEAA9f?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=740&bt=740&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZCBDL_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZkMzs5OGc0Njw6OTg8Nzs1QGkzaXNlOWtvZWs8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojYGIxYF4xNV5iMTZgM2I0L2Ejc2BzbHFnbms0YS0tZDBhc3M%3D&btag=80000e00010000&dy_q=1784386680&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260718225759C5211FA5A79021F03DEB&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核通过,--,8,--,512,17727,285,1.61,1.8,28.88,18,28.44,6.32,0,0,0
"	7660452400634134570",0709引导+v-瑞晨-1.mp4,https://video-cn.oceanengine.com/2b65eb987151b73d2305bd29d60ea084/6a5e378d/tos-cn-ve-51/ogUsgfAflzz77M4UA8AIRygeqnGUFCBaljJbn0?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=1238&bt=1238&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZCBDL_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY4ZTlmPDxmNGc8Mzk6ODVlQGlqc2xxNGtvdHA8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojMmAvYi9gL181MS40XjItNWEjY3NsNHFnZjY0YS0tZDBhc3M%3D&btag=80000e00010000&dy_q=1784386680&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260718225759C5211FA5A79021F03DEB&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核通过,--,6,--,397.42,31269,1140,3.65,0.35,12.71,20,19.87,1.75,0,0,0
