账户,素材id,视频名称,视频链接,投放情况,审核建议,素材评估,关联在投单元数,标签,消耗,展示数,点击数,点击率(%),平均点击单价(元),平均千次展现费用(元),转化数,转化成本,转化率(%),深度转化次数,深度转化成本,深度转化率(%),回访-加为好友(计费时间),回访-高潜成交(计费时间),回访-信息确认(计费时间)
自投1户,"	7662605347073572914",0715瑞晨引流-2.mp4,https://video-cn.oceanengine.com/9e82abdd4dd104021899bc07b5323d4a/6a7ac499/tos-cn-ve-51/d0ad68b878f1468cbca89a6b110e5487?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=1694&bt=1694&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZkwoC_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY4ZDo8Nzg2NTs5aGRoaTpkQGkzczNoO286NWo8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojM2IuNTBjLl8zMTExMTEvMGEjZ2RwYWFhZmpfYS0tZDAwc3M%3D&btag=80000e00008000&dy_q=1786257807&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260809144326A609E565F637DEDA2A8C&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,首发,26,--,91.89,4451,367,8.25,0.25,20.64,3,30.63,0.82,0,0,0,0,0,0
自投1户,"	7667051423217614858",推送视频_0724-引导-嘉丽D-2改.mp4,https://video-cn.oceanengine.com/38f8a8f4898c011f780541af9e51d8db/6a7ac495/tos-cn-ve-51/okDC2AAafQOujNggtvDZtTIyO2Sp1REBD0eqHO?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=1460&bt=1460&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZkwoC_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZlaGloODxoPGRkOjw0ODU0QGlqcDZuZW86dGw8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojLy4yXzYzM14uMTBgXzIxXmEjcXNiaWFhXjZnYS0tZDAwc3M%3D&btag=80000e00008000&dy_q=1786257807&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260809144326A609E565F637DEDA2A8C&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核通过,首发,4,--,26.34,726,33,4.55,0.8,36.28,1,26.34,3.03,0,0,0,0,0,0
自投1户,"	7663464995961847844",0717-瑞晨引流-4.mp4,https://video-cn.oceanengine.com/6c4c2d171525a88958bf47a34c0c17e8/6a7ac49e/tos-cn-ve-51/o8MhqAEfjQ1fgaAIIqRDB1ranDaRNWJ2QEIMRD?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=2086&bt=2086&cs=0&ds=4&ft=J9ThAGkHH_Myq8ZkwoC_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZmOmY3NjVmNTU4PGZnOjg1QGlqPG84aW86bDQ8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojNTEzY14xMF8xMWMvL2MtLmEjZ3JhZ2FhL2VhYS0tZDAwc3M%3D&btag=80000e00010000&dy_q=1786257807&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260809144326A609E565F637DEDA2A8C&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,--,6,--,38.5,1948,109,5.6,0.35,19.76,2,19.25,1.83,0,0,0,0,0,0
自投1户,"	7664925201298063370",0720-瑞晨引流-3.mp4,https://video-cn.oceanengine.com/8403f346a71542ef98dce428e329fd0e/6a7ac49e/tos-cn-ve-51/oEAVgBL1h7SgDmzIhcfIAtULiaIv16QXn7ZgZQ?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=859&bt=859&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZkwoC_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZpZTRlZWczMzw1Zmk1Zzk8QGkzbTNlZW86PG88MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojLWItLjIwMF5hMTEwMDU2LmEja20zcWFhLy5jYS0tZDAwc3M%3D&btag=80000e00010000&dy_q=1786257807&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260809144326A609E565F637DEDA2A8C&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,--,4,--,47.03,2350,187,7.96,0.25,20.01,1,47.03,0.53,0,0,0,0,0,0
自投1户,"	7664925987020308489",0720-引流-魏怡-7.mp4,https://video-cn.oceanengine.com/bbffd01c48747cab54d791c6cabeb2b5/6a7ac4b1/tos-cn-ve-51/okAAAB2e6NqRRBgXKl119glfCXpN2HagTwmD8l?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=1379&bt=1379&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZkwoC_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZoNTxpOmU2PGk2MzRmNzg1QGlqdzlwNW86c288MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojLy0uLTUtMTVeMWBhYS4xX2Eja3JfZWFhXjBjYS0tZDAvc3M%3D&btag=80000e00018000&dy_q=1786257807&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260809144326A609E565F637DEDA2A8C&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,--,5,--,24.17,1067,50,4.69,0.48,22.65,1,24.17,2,0,0,0,0,0,0
自投1户,"	7662605347073458226",0715瑞晨引流-1.mp4,https://video-cn.oceanengine.com/d81d359c77eb5be5cafe53d6519703ef/6a7ac49c/tos-cn-ve-51/oUUIHuIQzdamtKWILnA8CEycCQC7TNkN5AX4l?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=1776&bt=1776&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZkwoC_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY8PGQ7NGZmaGQ6ZzM8PDc4QGlqZHJ5OW86NWo8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojNC1gM2MzXjYtMTViYy5jX2EjZ2QyM2FhZmpfYS0tZDBhc3M%3D&btag=80000e00008000&dy_q=1786257807&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260809144326A609E565F637DEDA2A8C&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,首发,23,--,122.19,6177,321,5.2,0.38,19.78,3,40.73,0.93,0,0,0,0,0,0
自投1户,"	7667905164871614514",推送视频_0729-国星引流-学姐1.mp4,https://video-cn.oceanengine.com/09451cddae8aeba891b824ba2224e46e/6a7ac49a/tos-cn-ve-51/oYdDNagzha3mABCznquoN1gD82QeRAf1ITvp31?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=1320&bt=1320&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZkwoC_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY5Ozc4ODtmM2Q3OjpkNjgzQGlqeTo3ZW86ZHc8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojNGFgMzMyY14tMV5hMWIzX2EjbW9vaGFhL3JoYS0tZDAvc3M%3D&btag=80000e00008000&dy_q=1786257807&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260809144326A609E565F637DEDA2A8C&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,--,3,--,21.06,1037,89,8.58,0.24,20.31,3,7.02,3.37,0,0,0,0,1,0
自投1户,"	7662604342744006666",0714-瑞晨引导-13.mp4,https://video-cn.oceanengine.com/4bcb5e3bcd891fe236123942dc92ccdc/6a7ac499/tos-cn-ve-51/ooCVNQuI13fowBFyg2RMArgpearaEqADzccNUu?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=1823&bt=1823&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZkwoC_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY6OTc6Z2VnNTdoNDVnNjllQGkzc3FnOm86ZWo8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojYGFeLjA0YV8uMWFjNS0wL2EjNHJpMmFhZmhfYS0tZDBhc3M%3D&btag=80000e00008000&dy_q=1786257807&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260809144326A609E565F637DEDA2A8C&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,--,5,--,13.15,647,74,11.44,0.18,20.32,3,4.38,4.05,0,0,0,0,1,0
自投1户,"	7663102736046964772",0716-引导-小敏-修改.mp4,https://video-cn.oceanengine.com/74e18c9efa666a7cd2b0d2f321f477f9/6a7ac497/tos-cn-ve-51/oQxq0aBNC1qdWrD9SgkfAFzfIRExBdA2awEdME?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=292&bt=292&cs=0&ds=1&eid=29440&ft=J9ThAGkHH_Myq8ZkwoC_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZnOzozMzZoNTQ2Z2g3NmZoQGkzN3E6Z286dmY8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojX2I1NV8yYTZhMV42YF5gNWEjaXJyLWFhXnJgYS0tZDAvc3M%3D&btag=80000e00008000&dy_q=1786257807&feature_id=59cb2766d89ae6284516c6a254e9fb61&l=20260809144326A609E565F637DEDA2A8C&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核通过,首发,15,--,116.11,5214,400,7.67,0.29,22.27,7,16.59,1.75,0,0,0,0,0,0
自投1户,"	7662989656637423654",0715瑞晨引流修改-4.mp4,https://video-cn.oceanengine.com/181092c4d9bf9d973f5953d7b906a714/6a7ac498/tos-cn-ve-51/owalYIVHaS1ChhTPCUBAQd2TzuyoW0AItQodE?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=2001&bt=2001&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZkwoC_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY1Njo6NTk0OTg4NjxmOjQ5QGkzbzkzO286aDk8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojM2MuNTIvMTUyMTRiLjQvMmEjNjBkbWFhbmVgYS0tZDBhc3M%3D&btag=40000e00008000&dy_q=1786257807&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260809144326A609E565F637DEDA2A8C&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核通过,--,8,--,13.27,549,93,16.94,0.14,24.17,0,0,0,0,0,0,0,0,0
