素材id,视频名称,视频链接,投放情况,审核建议,素材评估,关联在投单元数,标签,消耗,展示数,点击数,点击率(%),平均点击单价(元),平均千次展现费用(元),转化数,转化成本,转化率(%),深度转化次数,深度转化成本,深度转化率(%),,,
"	7666006390916464682",0723-国星引流修改-10c.mp4,https://video-cn.oceanengine.com/ae40940297de618d55f144a96fd43042/6a6ef283/tos-cn-ve-51/oc9Q3MFuEIziPUcQ2IadAjtQRdWKwBmRMHbAg?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=560&bt=560&cs=0&ds=6&ft=J9ThAGkHH_Myq8ZAhdR_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY3ZWQ3aDk5aDhnNWY7PDVpQGkzaW01aG86Zmw8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojNTIvL14uNl4vMTZfMTQxX2EjNWJnb2FhXi1lYS0tZDAwc3M%3D&btag=80000e00010000&dy_q=1785483123&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260731153202239797E55B8C528F7D74&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,,,
"	7666006350121828358",0723-国星引流修改-1c.mp4,https://video-cn.oceanengine.com/1cc293ea9df21bc7da931e64e8255d56/6a6ef28f/tos-cn-ve-51/oMhXMaQmoIUzBbaAi1ZQdAB2iYfQAArC5EVjcJ?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=710&bt=710&cs=0&ds=4&ft=J9ThAGkHH_Myq8ZAhdR_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZmZWhnZDg8Mzg4ZGk0NzQzQGkzO2c5cDlyZmw8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojNTNiNV8tYzYyMWNfNmM0X2EjYWNqXjJkYy1lYS0tZDAvc3M%3D&btag=80000200010000&dy_q=1785483123&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260731153202239797E55B8C528F7D74&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,,,
"	7666006382614134847",0723-国星引流修改-3.mp4,https://video-cn.oceanengine.com/47555f0355986bb24386d59dfcf91c64/6a6ef280/tos-cn-ve-51/oIZgAGaHtDsYMIjoDmUeAAiBPLCIEmQoQ1Zcw7?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=1893&bt=1893&cs=0&ds=4&ft=J9ThAGkHH_Myq8ZAhdR_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZkZmYzZDs1PGg4NjU1Zzw2QGkzcDh1OG86Zmw8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojNi4wYTE0YV4yMTFgYWBhX2EjYy9kZ2FhXi1lYS0tZDBhc3M%3D&btag=80000200008000&dy_q=1785483123&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260731153202239797E55B8C528F7D74&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,,,
"	7666006371528556586",0723-国星引流修改-4.mp4,https://video-cn.oceanengine.com/efad3141956a243ca2f13829e4cac2a8/6a6ef27e/tos-cn-ve-51/oERNgDAH0bxeGEIMueBuRmSggAaUAqAyYE1Dn2?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=830&bt=830&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZAhdR_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY2OmkzaWVlaWZkM2g2ZTNkQGlqZWx2OW86Zmw8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojNDAtYC8uNjUxMWBiLjI1MWEjai9kbGFhXi1lYS0tZDAwc3M%3D&btag=80000e00008000&dy_q=1785483123&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260731153202239797E55B8C528F7D74&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,,,
"	7666006380580782143",0723-国星引流修改-5.mp4,https://video-cn.oceanengine.com/96a2b86b76e37acfa4c8a4342adf9186/6a6ef27f/tos-cn-ve-51/oAaMIQL9qI3zlmEbmIFWQgvMtUNvZBdjAoFAg?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=952&bt=952&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZAhdR_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZoZjo2ZDc4PGZpPDppOzhoQGlqOHh5OW86Zmw8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojLmItMV8uLzY2MV8vNmIuLmEjM3Nhb2FhXi1lYS0tZDAvc3M%3D&btag=80000e00008000&dy_q=1785483123&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260731153202239797E55B8C528F7D74&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核通过,首发,1,--,0,0,0,0,0,0,0,0,0,0,0,0,,,
"	7666006386430378026",0723-国星引流修改-6c.mp4,https://video-cn.oceanengine.com/5ea10ebb1b56e11161ee517e16922b6c/6a6ef280/tos-cn-ve-51/oYCfze96GBmULrTGlNIdkugQxCaQrUmAlGbeBA?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=478&bt=478&cs=0&ds=6&ft=J9ThAGkHH_Myq8ZAhdR_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZmPDk7OTc7OGdpN2g4NzZmQGlqaW1pczlyZmw8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojYi5iLl4wY15eMTY1YmFiLWEjXmdoYTJkay1lYS0tZDBhc3M%3D&btag=80000e00008000&dy_q=1785483123&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260731153202239797E55B8C528F7D74&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,,,
"	7666006379787599935",0723-国星引流修改-7.mp4,https://video-cn.oceanengine.com/359dcb98894f197e540af42a9cee80bb/6a6ef280/tos-cn-ve-51/oA7jleBItSbBQEhIKCLUAIlGA3aUBBsFekxGfM?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=1073&bt=1073&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZAhdR_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZlaWc5Njs4aTszNGU5Omc8QGlqdTZsbTlyZmw8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojM18wNS4zL19fMTYvNTMuMmEjb3M1NDJkay1lYS0tZDBhc3M%3D&btag=80000e00008000&dy_q=1785483123&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260731153202239797E55B8C528F7D74&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,,,
"	7666006376167833619",0723-国星引流修改-8.mp4,https://video-cn.oceanengine.com/5499b2fb702f614eb08a403abcadf8a3/6a6ef27e/tos-cn-ve-51/oMDefxQgDQAa22y2rJN9nYROyA1hABvIJQiqFG?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=379&bt=379&cs=0&ds=6&ft=J9ThAGkHH_Myq8ZAhdR_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZpZTczNGVlaTtkODs4ZTU8QGlqeHZuPG86Zmw8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojMDBjMV8xYzVfMV8xYV8uYmEjcTZxbGFhXi1lYS0tZDAwc3M%3D&btag=80000e00008000&dy_q=1785483123&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260731153202239797E55B8C528F7D74&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,,,
"	7666006404415160339",0723-国星引流修改-9.mp4,https://video-cn.oceanengine.com/f00d0b7290f733869a53a50d4ffb5273/6a6ef281/tos-cn-ve-51/oAVDX9aYuQ1oyfWAASegRr2iqjIBN2RANyCyXB?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=395&bt=395&cs=0&ds=6&ft=J9ThAGkHH_Myq8ZAhdR_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY8OTs7O2g5Z2g7OmY8NTg0QGlqcTVvaW86Zmw8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojLTJgM2M2Yl40MTJfYWEuLmEjMWthbGFhZi1lYS0tZDBhc3M%3D&btag=80000e00010000&dy_q=1785483123&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260731153202239797E55B8C528F7D74&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,,,
"	7665676234354655273",0723-瑞晨引流-2c.mp4,https://video-cn.oceanengine.com/1bc0537387d10a7cd74c755c5accc16e/6a6ef28f/tos-cn-ve-51/oAnieLndXzmGQEgIlAW1AQRtQlhnDgkOUPMBan?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=968&bt=968&cs=0&ds=4&ft=J9ThAGkHH_Myq8ZAhdR_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZpO2VnNDxmNjk0aTtpaTc7QGlqOnN2Om86eHk8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojXzRjLi0uXl4zMTVhYV81NWEjZmlsMmFhXjRkYS0tZDAwc3M%3D&btag=80000200010000&dy_q=1785483123&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=20260731153202239797E55B8C528F7D74&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,,,
