签名,渠道,广告账户ID,广告计划ID,抖音号名称（id）,平台素材ID,素材预览,素材名称,日期,素材标签,上传人,投放产品,素材投放产品,代理商,来源,生产属性,市场员,首次消耗时间,已上线投放天数,消耗,成交GMV,成交单量,ROI,CPM（千次曝光成本）,千次有效观看成本,CPA,CTR,CVR,3s播放率,千次曝光成交率,千次观看成交
ba49c37c59056bb7bcba8bec777a2e9a,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/ba49c37c59056bb7bcba8bec777a2e9a.mp4,0703-199双科-申坤-李博-李天-卞俊洁-A2-B4-无-27,-,,,199元高中双科提分课,199元高中双科提分课,申坤,其他,0,wangjiananbj03,2026/7/5,5,15138.61,5373,27,0.35,144.27,17852.13,560.69,1.12%,2.30%,-,0.26,6336.08
f1bed797835e977efdd3fc7caffdf5c6,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/f1bed797835e977efdd3fc7caffdf5c6.mp4,0610-199双科-自产-自产主-李博-视觉锤-子衿-A3-B1-无-3.mp4,-,,,199元高中双科提分课,199元高中双科提分课,荔枝,其他,0,wangjiananbj03,2026/6/19,21,0.12,0,0,0,30,120,0,25.00%,0.00%,-,0,0
414176a31f26101f22e7d0c1ae915945,-,-,-,-,-,https://img-pub.oss-cn-beijing-internal.aliyuncs.com/19f1c707b828656.mp4,20260629-9物-代理-启航-李博-【b1-p6-j9-30】,-,,,9元高中物理李博,9元高中物理李博,启航,代理商,0,wangjiananbj03,2026/7/3,7,0.06,0,0,0,6.67,0,0,0.00%,0.00%,-,0,0
32d7e6b0021bf3bb6b3724e50ad5c8fe,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/32d7e6b0021bf3bb6b3724e50ad5c8fe.mp4,0703-199双科-申坤-李博-李天-姚恒-A5-B5-无-02,-,,,199元高中双科提分课,199元高中双科提分课,申坤,代理商,0,wangjiananbj03,2026/7/3,7,38.98,0,0,0,44.25,4331.11,0,1.02%,0%,-,0,0
2ee70c7a620a48720e8a506ca0144551,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/2ee70c7a620a48720e8a506ca0144551.mp4,0703-199双科-申坤-李博-李天-姚恒-A2-B4-无-02,-,,,199元高中双科提分课,199元高中双科提分课,申坤,其他,0,wangjiananbj03,2026/7/6,4,162.46,0,0,0,56.45,9025.56,0,1.11%,0%,-,0,0
2497e117ee5b7be6b151ade16a7b7fd9,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/2497e117ee5b7be6b151ade16a7b7fd9.mp4,20260604-猿辅导高中双科-实拍-买数学送物理-来得及-唐欣悦-bj于靖-李文静ec-视频号二创-3,-,,,199元高中双科提分课,199元高中双科提分课,荔枝,其他,0,wangjiananbj03,2026/6/6,34,6846.45,2786,12,0.41,57.91,16185.46,570.54,0.53%,1.93%,-,0.1,6586.29
b68d91c078080d079580ad67460a84ab,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/b68d91c078080d079580ad67460a84ab.mp4,0529-9物-玄武-李博-A5-B2-yfdwl0529h2浩10-锴-鑫-超-首,-,,,9元高中物理李博,9元高中物理李博,玄武,其他,0,wangruixuebj01,2026/6/13,27,572.32,27,3,0.05,99.38,7948.89,190.77,1.32%,3.95%,-,0.52,375
a12b9bdc5e1160743cab5cc222c9c1ab,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/a12b9bdc5e1160743cab5cc222c9c1ab.mp4,一键修复_20260619-猿辅导高中双科-实拍-千川-分数痛点-买数学送物理-能上-张焱-dr小五-裂变-张晓洁yc-4.mp4,-,,,199元高中双科提分课,199元高中双科提分课,荔枝,其他,0,wangjiananbj03,2026/6/19,21,161.46,199,1,1.23,98.33,7339.09,161.46,1.34%,4.55%,-,0.61,9045.45
e7a378f2eaceb781208bed9829dda624,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/e7a378f2eaceb781208bed9829dda624.mp4,0415-9物-自产-自产二-李博-云梵-小敏-A7-B1B4-有-24-娇,-,,,9元高中物理李博,59元英语盒子,玄武,其他,0,wangruixuebj01,2026/5/8,63,0,0,0,0,0,0,0,0.00%,0.00%,-,0,0
99fa9d389d4695bf888ebc6cbd761d5b,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/99fa9d389d4695bf888ebc6cbd761d5b.mp4,20260624-9物-代理-启航-李博-【b1-p6-a3-56-0626】-A5-B5-有-2,-,,,9元高中物理李博,9元高中物理李博,启航,代理商,0,wangjiananbj03,2026/6/30,10,0.05,0,0,0,3.57,0,0,0.00%,0.00%,-,0,0
8f7f09e517131ece61322ef31957e08f,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/8f7f09e517131ece61322ef31957e08f.mp4,0616-9物-十人-bmqr-ylb-A2-B4-jclb-pwjl-6,-,,,9元高中物理李博,9元高中物理李博,十人,代理商,0,wangruixuebj01,2026/6/16,24,72.32,9,1,0.12,176.82,4254.12,72.32,3.91%,6.25%,-,2.44,529.41
f37186aec9c128eb1a0f348a444a123c,-,-,-,-,-,https://tutor-online.oss-cn-beijing.aliyuncs.com/growth/download-material/f37186aec9c128eb1a0f348a444a123c.mp4,20260625-猿辅导高中双科-实拍-千川-线下班对比-买数送物-199学三年-婆婆恨-唐欣悦-bj庄紫薇--张晓洁ec-3,-,,,199元高中双科提分课,199元高中双科提分课,荔枝,代理商,0,wangjiananbj03,2026/7/7,3,0.01,0,0,0,5,0,0,0.00%,0.00%,-,0,0
