素材id,视频名称,视频链接,投放情况,审核建议,素材评估,关联在投单元数,标签,消耗,展示数,点击数,点击率(%),平均点击单价(元),平均千次展现费用(元),转化数,转化成本,转化率(%),深度转化次数,深度转化成本,深度转化率(%),回访-加为好友(计费时间),回访-高潜成交(计费时间),回访-信息确认(计费时间)
"	7660186951438139446",0708-引导-嘉丽-4.mp4,https://video-cn.oceanengine.com/bebd7c699b95025b63686f39402d1fd3/6a6c0976/tos-cn-ve-51/o4XQsqT2AKmBzJh1mtfAgAm86sEWIQ9iZpCJq4?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=1135&bt=1135&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z1FbY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY1N2c1ODc2NTNmaGRpNTxnQGlqb2ZvN2tvdTo8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojYGE0NjIvYF5jMTYwNC0wNWEjYy1mZnFnXjM0YS0tZDAwc3M%3D&btag=80000e00010000&dy_q=1785292389&feature_id=59cb2766d89ae6284516c6a254e9fb61&l=2026072910330806831BC2951B40324D78&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,--,24,--,23.01,479,11,2.3,2.09,48.04,1,23.01,9.09,0,0,0,0,0,0
"	7660371917899792420",0709引导-小敏-1-1.mp4,https://video-cn.oceanengine.com/6cc28db4ac60244a99401694fc0ee0d0/6a6c097a/tos-cn-ve-51/oYwMZq7TgunNAgseqIRkCM6EDEAeNxVNBMAcx0?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=841&bt=841&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z1FbY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZnOGZlZTo4aDM7Ojs1PDY6QGlqNmY7PGtvZms8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojXzNgMTItYTUwMTEwMGFhYWEjMC8ycXFnL2s0YS0tZDBhc3M%3D&btag=80000e00010000&dy_q=1785292389&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026072910330806831BC2951B40324D78&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,--,13,--,18.75,987,18,1.82,1.04,19,1,18.75,5.56,0,0,0,0,0,0
"	7661187006646501412",微信视频2026-07-11_163704_323.mp4,https://video-cn.oceanengine.com/ec9942ac18100e5cda6c0f66ff1e0c81/6a6c0981/tos-cn-ve-51/b915b5c8144b4c9c9167b095ed5cd073?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=1021&bt=1021&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z1FbY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY0aTQ6OzpnZWhnNzU2OzU3QGlqZ2t0ZWtvNjM8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojMS8vYmE2Nl4zMWAzYmMwM2EjYWwycXFnXi82YS0tZDAvc3M%3D&btag=80000e00010000&dy_q=1785292389&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026072910330806831BC2951B40324D78&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,--,8,--,0.07,1,0,0,0,70,0,0,0,0,0,0,0,0,0
"	7665911365609570346",0723-引流-魏怡-7 C.mp4,https://video-cn.oceanengine.com/2c602cd7e8bf3cb6d0f31bc5ccc5e47d/6a6c09d0/tos-cn-ve-51/ogHglo6GbIjAxaURRTQgec1UTOKa2BzfCAwqex?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=1537&bt=1537&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z1FbY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZoOzpkN2Y3OjMzZDw4PGU8QGlqbHNpN286Znk8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojLjFjMjQzMV8uMTIzNTE0YmEjZi1tYGFhbmllYS0tZDBhc3M%3D&btag=80000e00028000&dy_q=1785292389&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026072910330806831BC2951B40324D78&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,--,5,--,0.45,28,0,0,0,16.07,0,0,0,0,0,0,0,0,0
"	7662271415936843802",0713-引导-嘉丽-7.mp4,https://video-cn.oceanengine.com/2038ee5d0daf4d7e2afd6aa82855dcf1/6a6c0987/tos-cn-ve-51/oIEm2h1AuC2YakBV4AIApKeZyDQAnQqls2Bpk6?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=862&bt=862&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z1FbY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY5PDdlNzQ6ZjU8NTk2Z2dkQGlqPHY8OGtvbHc8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojNmIzYzJeYzUzMTFfNGM0YWEjLS4xYHFnXmpeYS0tZDAvc3M%3D&btag=80000e00018000&dy_q=1785292389&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026072910330806831BC2951B40324D78&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,--,6,--,5.71,229,4,1.75,1.43,24.93,0,0,0,0,0,0,0,0,0
"	7660371894164914182",0708-引导-嘉丽-5.mp4,https://video-cn.oceanengine.com/ab596b0a2aeaa29ee4e8a1bb14fa176c/6a6c096a/tos-cn-ve-51/owfebUfFnk0zGTZMBAhH3Ndqg4WA70AjtdEC5j?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=1212&bt=1212&cs=0&ds=6&ft=J9ThAGkHH_Myq8Z1FbY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGYzNzM0Ojo6Zzc6ZTc7OWc5QGlqaHZlNGtvZms8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojLV4zMDUxYzY0MTM0LjEvL2EjczRoaHFnL2s0YS0tZDAvc3M%3D&btag=80000e00008000&dy_q=1785292389&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026072910330806831BC2951B40324D78&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,--,15,--,229.89,19557,223,1.14,1.03,11.75,17,13.52,7.62,0,0,0,0,0,0
"	7660186913555644470",0708引导-小敏-1.mp4,https://video-cn.oceanengine.com/d16ebf449553249b68612386ffbc3926/6a6c0977/tos-cn-ve-51/2bae3a7756eb456186673002a0168b64?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=675&bt=675&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z1FbY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY3ODNnMzVkOWY0aTw4O2c0QGkzO2pwZ2tvdTo8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojNWE1MDBjYl8tMWFjMi41NGEjajVpMnFnXjM0YS0tZDBhc3M%3D&btag=80000e00010000&dy_q=1785292389&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026072910330806831BC2951B40324D78&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,--,10,--,0.03,1,0,0,0,30,0,0,0,0,0,0,0,0,0
"	7666006400510640147",推送视频_0723-瑞晨引流修改-3.mp4,https://video-cn.oceanengine.com/b08ead9c0578647cee8221c5875342ef/6a6c0974/tos-cn-ve-51/o8IajmbBdU5WMOtEAiVHwzA1gIvgQMdqyRZrQ?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=910&bt=910&cs=0&ds=6&ft=J9ThAGkHH_Myq8Z1FbY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY0aDdmZjg7Nzs8ZGk1MzlmQGlqaW9kNW86Zmw8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojMzJjLzRiXjYxMTYvY2ExLWEjMGdmZGFhXi1lYS0tZDAwc3M%3D&btag=80000e00010000&dy_q=1785292389&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026072910330806831BC2951B40324D78&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,--,4,--,0.59,41,1,2.44,0.59,14.39,0,0,0,0,0,0,0,0,0
"	7666006380580782143",推送视频_0723-国星引流修改-5.mp4,https://video-cn.oceanengine.com/26061523eec33f6fcce9cfbbc9da076c/6a6c0971/tos-cn-ve-51/oAaMIQL9qI3zlmEbmIFWQgvMtUNvZBdjAoFAg?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=952&bt=952&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z1FbY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZoZjo2ZDc4PGZpPDppOzhoQGlqOHh5OW86Zmw8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojLmItMV8uLzY2MV8vNmIuLmEjM3Nhb2FhXi1lYS0tZDAvc3M%3D&btag=80000e00008000&dy_q=1785292389&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026072910330806831BC2951B40324D78&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核通过,首发,3,--,0.2,1,0,0,0,200,0,0,0,0,0,0,0,0,0
"	7663055903798247474",0716-引流瑞晨-1.mp4,https://video-cn.oceanengine.com/e708f84df263a60a98b32b6561ef4cb9/6a6c0974/tos-cn-ve-51/oIKNBlgAQrjIYAkdC9GaWRgzzkqjIJliptEGQ?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=565&bt=565&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z1FbY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY7ZzgzNjdoNjk5OzNmMzxpQGkzOGQ0Nm86bWQ8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojMmNgYmAuXzU0MWAyLzZhXmEjMmlkZGFhZjZgYS0tZDAvc3M%3D&btag=80000e00010000&dy_q=1785292389&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026072910330806831BC2951B40324D78&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,--,6,--,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
