素材id,视频名称,视频链接,投放情况,审核建议,素材评估,关联在投单元数,标签,消耗,展示数,点击数,点击率(%),平均点击单价(元),平均千次展现费用(元),转化数,转化成本,转化率(%),深度转化次数,深度转化成本,深度转化率(%)
7660186951438139446,0708-引导-嘉丽-4.mp4,https://video-cn.oceanengine.com/a5f5e05e537b31343214e91a4c1ebbd7/6a7ee979/tos-cn-ve-51/oAI2IMemSOfERB7VrgE1Exf9AQt8CpAeVqaI17?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=866&bt=866&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z_Fdq_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY4ZTVmPGhmMzVnOjc2OGdlQGkzZXhxOm86aXk8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojX2MvLTMwXjUyMS01YmExNmEjNmljNmFhZmNeYS0tZDAvc3M%3D&btag=80000e00010000&dy_q=1786529384&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=202608121809437AD1DBEC58B1EC206596&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,--,23,--,12.79,418,21,5.02,0.61,30.6,1,12.79,4.76,0,0,0
7661186975484379190,微信视频_20260711163647.mp4,https://video-cn.oceanengine.com/20f3de4afd9c0c5cad28f8607507fc11/6a7ee97b/tos-cn-ve-51/13538b55e4c44081a302871672a0345d?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=928&bt=928&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z_Fdq_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY8ZGVoZ2hnZTU5aWU2PGhkQGkzMzo2ZG86OXk8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojMC9jNF8uMTZeMV9gYl8xMGEjXmNiM2FhXmNeYS0tZDBhc3M%3D&btag=80000e00010000&dy_q=1786529384&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=202608121809437AD1DBEC58B1EC206596&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,--,7,--,0.02,1,0,0,0,20,0,0,0,0,0,0
7661187006646501412,微信视频2026-07-11_163704_323.mp4,https://video-cn.oceanengine.com/0c0739bd3273c169fb71f1a1f2b4757d/6a7ee984/tos-cn-ve-51/oQygv5aftHAMK7rABm2kAAvBYUjQImgoQ1vbi7?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=1021&bt=1021&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z_Fdq_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY4ZDU6aGhpZTU3OWVkNjQ8QGkzMzo2ZG86OXk8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojYmIxLWBgLl5iMTZfYDAyYWEjNmNiM2FhXmNeYS0tZDBhc3M%3D&btag=80000e00010000&dy_q=1786529384&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=202608121809437AD1DBEC58B1EC206596&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,--,8,--,0.05,1,0,0,0,50,0,0,0,0,0,0
7661187009408008233,微信视频_20260711163659.mp4,https://video-cn.oceanengine.com/b18cd87e952a39fe82013a30ac4c86c9/6a7ee98d/tos-cn-ve-51/o8AIVJEAIali9I9dA3EzaVdQtXIgvEwQWmUgJ?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=908&bt=908&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z_Fdq_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY2ODM6aGg0NTw3Nmg4OTYzQGkzajt1NW86OXk8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojNV4uYjA0Ml4xMTA2YTUwMWEjL2VvMWFhXmNeYS0tZDAvc3M%3D&btag=80000e00018000&dy_q=1786529384&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=202608121809437AD1DBEC58B1EC206596&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,优质,33,--,199.97,7547,133,1.76,1.5,26.5,8,25,6.02,0,0,0
7662213071909732378,0713-引导-小敏-1.mp4,https://video-cn.oceanengine.com/56a0983b491fef587fa1f852c44b5e91/6a7ee977/tos-cn-ve-51/oQnQDEBTg51AhWEagwioAiMBmgVB4QSmKIfdia?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=874&bt=874&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z_Fdq_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY7Zjs2OzQ3ZjQ1NTVlO2c5QGlqdGQ7czlyPDk8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojYjQ2X2JhY180MS4wNTA1NmEjZDEucDJkc2ZkYS0tZDBhc3M%3D&btag=80000e00010000&dy_q=1786529384&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=202608121809437AD1DBEC58B1EC206596&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,--,4,--,1.15,38,2,5.26,0.58,30.26,0,0,0,0,0,0
7662602318490189862,0714-引导-小敏-2.mp4,https://video-cn.oceanengine.com/f75a6bffcd14bffddb620ae60d50e3fd/6a7ee977/tos-cn-ve-51/oETTYtClrkEzlCEaIccPzAQJdWzOtIQAIIVXG?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=1254&bt=1254&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z_Fdq_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY0NGZlZjk7aWc7Omg6Njg5QGlqOWZsZW86cmo8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojLjUzNjRjNl9fMTQvMTUvYWEjbXBiNGFhZmRfYS0tZDBhc3M%3D&btag=80000e00010000&dy_q=1786529384&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=202608121809437AD1DBEC58B1EC206596&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,首发,17,--,0.12,17,0,0,0,7.06,0,0,0,0,0,0
7662602421135540270,0714-引导-嘉丽-2.mp4,https://video-cn.oceanengine.com/6c2797aa6628f46e5284560817ed80cd/6a7ee973/tos-cn-ve-51/ocIUI6tTL7hxtxmXgQaAEQKPmf1QCA5BB476IZ?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=852&bt=852&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z_Fdq_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY2M2k8NTs1ZGc7ODdmZTk0QGkzazx4Om86cmo8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojNTI0NGAzMzU2MTUwYWI1NWEjcTZzc2FhZmRfYS0tZDAwc3M%3D&btag=80000e00008000&dy_q=1786529384&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=202608121809437AD1DBEC58B1EC206596&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,首发,22,--,3.41,224,33,14.73,0.1,15.22,1,3.41,3.03,0,0,0
7662602433123483686,0714-引导-嘉丽-1.mp4,https://video-cn.oceanengine.com/2c3f4d0dd3bd5709e6b6a99f193887de/6a7ee972/tos-cn-ve-51/o8daEzldDItYIkttvaHOQUMCCIAXWETc2XIkA?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=356&bt=356&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z_Fdq_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZlaTM3ZWZoOjc8OjVlNzg7QGlqNztzZ286cmo8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojLy00NWJfMl4tMWNgLTViXmEjX2wta2FhZmRfYS0tZDBhc3M%3D&btag=80000e00008000&dy_q=1786529384&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=202608121809437AD1DBEC58B1EC206596&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,--,13,--,0.1,10,0,0,0,10,0,0,0,0,0,0
7662604313426214958,0714-瑞晨引导-12.mp4,https://video-cn.oceanengine.com/dbbc8fbae30a9d45509e73413e7e7d56/6a7ee972/tos-cn-ve-51/ooQJLtClokSzlCEaKLc6uAgadW7ClIQAmIBXX?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=1707&bt=1707&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z_Fdq_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZpMzc1Z2hnaDc5aWY2aTZoQGkzcWY5O286ZWo8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojNDUyLjYxXjYyMTAyYzU1NGEjazFrcWFhZmhfYS0tZDAvc3M%3D&btag=80000e00008000&dy_q=1786529384&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=202608121809437AD1DBEC58B1EC206596&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核通过,--,4,--,0.13,3,0,0,0,43.33,0,0,0,0,0,0
7662604342744006666,0714-瑞晨引导-13.mp4,https://video-cn.oceanengine.com/eb32a928a9bc68a2d4f68fe88f21fd38/6a7ee972/tos-cn-ve-51/ooCVNQuI13fowBFyg2RMArgpearaEqADzccNUu?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=1823&bt=1823&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z_Fdq_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY6OTc6Z2VnNTdoNDVnNjllQGkzc3FnOm86ZWo8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojYGFeLjA0YV8uMWFjNS0wL2EjNHJpMmFhZmhfYS0tZDBhc3M%3D&btag=80000e00008000&dy_q=1786529384&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=202608121809437AD1DBEC58B1EC206596&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,--,6,--,1.28,22,2,9.09,0.64,58.18,0,0,0,0,0,0
