素材id,视频名称,视频链接,投放情况,审核建议,素材评估,关联在投单元数,标签,消耗,展示数,点击数,点击率(%),平均点击单价(元),平均千次展现费用(元),转化数,转化成本,转化率(%),深度转化次数,深度转化成本,深度转化率(%),回访-加为好友(计费时间),回访-高潜成交(计费时间),回访-信息确认(计费时间)
7662605347073572914,0715瑞晨引流-2.mp4,https://video-cn.oceanengine.com/c932704625f9e372aadd936e1916dfa0/6a7f1297/tos-cn-ve-51/d0ad68b878f1468cbca89a6b110e5487?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=1694&bt=1694&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z-lUq_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY4ZDo8Nzg2NTs5aGRoaTpkQGkzczNoO286NWo8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojM2IuNTBjLl8zMTExMTEvMGEjZ2RwYWFhZmpfYS0tZDAwc3M%3D&btag=80000e00008000&dy_q=1786539917&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026081221051682A47AA65D94674BE18C&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,首发,28,--,0.07,17,0,0,0,4.12,0,0,0,0,0,0,0,0,0
7663464995961847844,0717-瑞晨引流-4.mp4,https://video-cn.oceanengine.com/7f96d03981d4479e58cda7dbcdf99382/6a7f129c/tos-cn-ve-51/o8MhqAEfjQ1fgaAIIqRDB1ranDaRNWJ2QEIMRD?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=2086&bt=2086&cs=0&ds=4&ft=J9ThAGkHH_Myq8Z-lUq_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZmOmY3NjVmNTU4PGZnOjg1QGlqPG84aW86bDQ8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojNTEzY14xMF8xMWMvL2MtLmEjZ3JhZ2FhL2VhYS0tZDAwc3M%3D&btag=80000e00010000&dy_q=1786539917&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026081221051682A47AA65D94674BE18C&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,--,7,--,2.55,51,1,1.96,2.55,50,0,0,0,0,0,0,0,0,0
7664925201298063370,0720-瑞晨引流-3.mp4,https://video-cn.oceanengine.com/a93da9c411ede8386d6bbb52aadea562/6a7f129c/tos-cn-ve-51/oEAVgBL1h7SgDmzIhcfIAtULiaIv16QXn7ZgZQ?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=859&bt=859&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z-lUq_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZpZTRlZWczMzw1Zmk1Zzk8QGkzbTNlZW86PG88MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojLWItLjIwMF5hMTEwMDU2LmEja20zcWFhLy5jYS0tZDAwc3M%3D&btag=80000e00010000&dy_q=1786539917&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026081221051682A47AA65D94674BE18C&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,--,5,--,0.06,1,0,0,0,60,0,0,0,0,0,0,0,0,0
7664925987020308489,0720-引流-魏怡-7.mp4,https://video-cn.oceanengine.com/d46e57feb49ed483f8c13cc7e88182a2/6a7f12af/tos-cn-ve-51/okAAAB2e6NqRRBgXKl119glfCXpN2HagTwmD8l?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=1379&bt=1379&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z-lUq_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZoNTxpOmU2PGk2MzRmNzg1QGlqdzlwNW86c288MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojLy0uLTUtMTVeMWBhYS4xX2Eja3JfZWFhXjBjYS0tZDAvc3M%3D&btag=80000e00018000&dy_q=1786539917&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026081221051682A47AA65D94674BE18C&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,--,7,--,0.04,1,0,0,0,40,0,0,0,0,0,0,0,0,0
7662605347073458226,0715瑞晨引流-1.mp4,https://video-cn.oceanengine.com/3d59fe75a5a930e7dd287439f2f2018f/6a7f129a/tos-cn-ve-51/oUUIHuIQzdamtKWILnA8CEycCQC7TNkN5AX4l?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=1776&bt=1776&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z-lUq_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY8PGQ7NGZmaGQ6ZzM8PDc4QGlqZHJ5OW86NWo8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojNC1gM2MzXjYtMTViYy5jX2EjZ2QyM2FhZmpfYS0tZDBhc3M%3D&btag=80000e00008000&dy_q=1786539917&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026081221051682A47AA65D94674BE18C&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,首发,26,--,615.99,38149,2870,7.52,0.21,16.15,35,17.6,1.22,0,0,0,0,1,0
7664925350633455626,0720-浩正引导-4.mp4,https://video-cn.oceanengine.com/0444f2e16012a1f1115600b88b5c8941/6a7f129d/tos-cn-ve-51/oQFXDfwwDEANIYUZTgqgFBBfQKN1AFNwaA5D5S?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=771&bt=771&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z-lUq_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY4NzVmZDkzZTs2PDpoaWU8QGkzZmxycjlydm88MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojMzQuMGNiXjZgMS8yMC0zXmEjcGE0MTJkNC9jYS0tZDBhc3M%3D&btag=80000e00010000&dy_q=1786539917&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026081221051682A47AA65D94674BE18C&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,--,5,--,12.04,172,7,4.07,1.72,70,1,12.04,14.29,0,0,0,0,0,0
7667905164871614514,推送视频_0729-国星引流-学姐1.mp4,https://video-cn.oceanengine.com/86197b40de2b5f9d6172a5af4f32e866/6a7f1298/tos-cn-ve-51/oYdDNagzha3mABCznquoN1gD82QeRAf1ITvp31?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=1320&bt=1320&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z-lUq_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY5Ozc4ODtmM2Q3OjpkNjgzQGlqeTo3ZW86ZHc8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojNGFgMzMyY14tMV5hMWIzX2EjbW9vaGFhL3JoYS0tZDAvc3M%3D&btag=80000e00008000&dy_q=1786539917&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026081221051682A47AA65D94674BE18C&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,--,5,--,84.46,2942,69,2.35,1.22,28.71,9,9.38,13.04,0,0,0,0,0,0
7662604342744006666,0714-瑞晨引导-13.mp4,https://video-cn.oceanengine.com/5c269500b5a5e307f9f7b0c589a4e45f/6a7f1297/tos-cn-ve-51/ooCVNQuI13fowBFyg2RMArgpearaEqADzccNUu?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=1823&bt=1823&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z-lUq_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY6OTc6Z2VnNTdoNDVnNjllQGkzc3FnOm86ZWo8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojYGFeLjA0YV8uMWFjNS0wL2EjNHJpMmFhZmhfYS0tZDBhc3M%3D&btag=80000e00008000&dy_q=1786539917&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026081221051682A47AA65D94674BE18C&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,--,6,--,0.95,68,7,10.29,0.14,13.97,0,0,0,0,0,0,0,0,0
7663102736046964772,0716-引导-小敏-修改.mp4,https://video-cn.oceanengine.com/7dca78d4a5769f623d8bcd6d7a006469/6a7f1295/tos-cn-ve-51/oQxq0aBNC1qdWrD9SgkfAFzfIRExBdA2awEdME?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=292&bt=292&cs=0&ds=1&eid=29440&ft=J9ThAGkHH_Myq8Z-lUq_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZnOzozMzZoNTQ2Z2g3NmZoQGkzN3E6Z286dmY8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojX2I1NV8yYTZhMV42YF5gNWEjaXJyLWFhXnJgYS0tZDAvc3M%3D&btag=80000e00008000&dy_q=1786539917&feature_id=59cb2766d89ae6284516c6a254e9fb61&l=2026081221051682A47AA65D94674BE18C&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,首发,18,--,15.39,765,49,6.41,0.31,20.12,0,0,0,0,0,0,0,0,0
7664925165076463667,0720-瑞晨引流-5.mp4,https://video-cn.oceanengine.com/11de1cbab6c0a2f11ab5bc568f47c3de/6a7f129c/tos-cn-ve-51/oYeSgX1A9RqFa11CWDRBNykfXU0mo1D9A2AMRg?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=768&bt=768&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z-lUq_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZlOzw8NTw1OGRnM2ZlPDU2QGlqd3c8OG86PG88MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojMS40LjYzXl4wMWIwYmMyYGEjLm4yM2FhLy5jYS0tZDAwc3M%3D&btag=80000e00010000&dy_q=1786539917&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026081221051682A47AA65D94674BE18C&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,已使用,审核通过,--,8,--,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
