签名,渠道,广告账户ID,广告计划ID,抖音号名称（id）,平台素材ID,素材预览,素材名称,日期,素材标签,上传人,编导确认,投放产品,素材投放产品,代理商,来源,生产属性,市场员,消耗,成交GMV,成交单量,ROI,CPM（千次曝光成本）,千次有效观看成本,CPA,CTR,CVR,3s播放率,千次曝光成交率,千次观看成交
d233f849be3a5be6bdb9469f8632e152,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1782095427484.d233f849be3a5be6bdb9469f8632e152.mp4,0611-199双科-自产-自产二-王晶-视觉锤-小敏-A2-B6-无-10,20260626,0611-199双科-自产-自产二-王晶-视觉锤-小敏-A2-B6-无-1020260626,曲敏,曲敏,199元高中双科提分课,199元高中双科提分课,自投放,自有,自产原创,wangjiananbj03,0.22,0,0,0,27.5,0,0,0.00%,0.00%,-,0,0
df0c3a8dd88939a25d19b29c2002f0ec,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1780984421202.df0c3a8dd88939a25d19b29c2002f0ec.mp4,0526-199双科-自产-自产主-王晶-亿晨-子衿-A5-B1-有-3,20260626,0526-199双科-自产-自产主-王晶-亿晨-子衿-A5-B1-有-320260626,贾子矜,贾子矜,199元高中双科提分课,199元高中双科提分课,自投放,自有,自产原创,wangjiananbj03,0.2,0,0,0,33.33,0,0,0.00%,0.00%,-,0,0
fac75c4ec0bca6b960d81290287ba777,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1781579960306.fac75c4ec0bca6b960d81290287ba777.mp4,0610-199双科-自产-自产二-李博-视觉锤-子衿-A2-B1-有-7(1),20260626,0610-199双科-自产-自产二-李博-视觉锤-子衿-A2-B1-有-7(1)20260626,贾子矜,贾子矜,199元高中双科提分课,199元高中双科提分课,自投放,自有,自产原创,wangjiananbj03,1.16,0,0,0,68.24,0,0,0.00%,0.00%,-,0,0
8906745ce3e833adb10a33bfd92807aa,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1780983143422.8906745ce3e833adb10a33bfd92807aa.mp4,6月4日 (3)(6),20260626,6月4日 (3)(6)20260626,贾子矜,贾子矜,199元高中双科提分课,199元高中双科提分课,自投放,自有,自产原创,wangjiananbj03,2.75,0,0,0,250,0,0,0.00%,0.00%,-,0,0
567aa0d64babfa718d2776d3485b568a,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1781503538047.567aa0d64babfa718d2776d3485b568a.mp4,0526-199双科-自产-自产二-王晶-亿晨-小敏-A7-B5-有-11,20260626,0526-199双科-自产-自产二-王晶-亿晨-小敏-A7-B5-有-1120260626,曲敏,曲敏,199元高中双科提分课,199元高中双科提分课,自投放,自有,自产原创,wangjiananbj03,1.87,0,0,0,233.75,0,0,0.00%,0.00%,-,0,0
f3288b9939c59e630458e23e380e7ba9,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1779427695243.f3288b9939c59e630458e23e380e7ba9.mp4,0512-199双科-自产-自产主-王晶-曲中雨-雅迪---无-12,20260626,0512-199双科-自产-自产主-王晶-曲中雨-雅迪---无-1220260626,王雅迪,王雅迪,199元高中双科提分课,199元高中双科提分课,自投放,自有,自产原创,wangjiananbj03,0,0,0,0,0,0,0,0.00%,0.00%,-,0,0
672a7dd76553c5b2539db58ae3651101,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1778649245942.672a7dd76553c5b2539db58ae3651101.mp4,0508-199双科-自产-自产二-李博-视觉锤-雅迪-A5-B1-无-16,20260626,0508-199双科-自产-自产二-李博-视觉锤-雅迪-A5-B1-无-1620260626,王雅迪,王雅迪,199元高中双科提分课,199元高中双科提分课,自投放,自有,自产原创,wangjiananbj03,0,0,0,0,0,0,0,0.00%,0.00%,-,0,0
60fda511de23511be14bbd8d8186fc12,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1778581745046.60fda511de23511be14bbd8d8186fc12.mp4,0508-199双科-自产-自产主-李博-视觉锤-雅迪-A5-B1-无-17,20260626,0508-199双科-自产-自产主-李博-视觉锤-雅迪-A5-B1-无-1720260626,王雅迪,王雅迪,199元高中双科提分课,199元高中双科提分课,自投放,自有,自产原创,wangjiananbj03,0.05,0,0,0,50,0,0,0.00%,0.00%,-,0,0
b60230896a46f6f9a944b0484da427c9,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1781770559117.b60230896a46f6f9a944b0484da427c9.mp4,0602-199双科-自产-自产主-王晶-巽阳-子衿-A3-B2-有-3-RS,20260626,0602-199双科-自产-自产主-王晶-巽阳-子衿-A3-B2-有-3-RS20260626,韩晨国,贾子矜,199元高中双科提分课,199元高中双科提分课,自投放,自有,自产原创,wangjiananbj03,2.44,0,0,0,93.85,0,0,0.00%,0.00%,-,0,0
202d3890dc7a42c1b2000ccbb63e7e7c,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1779278571064.202d3890dc7a42c1b2000ccbb63e7e7c.mp4,0513-199双科-自产-自产主-李博-视觉锤-雅迪-A5-B2-无-17,20260626,0513-199双科-自产-自产主-李博-视觉锤-雅迪-A5-B2-无-1720260626,王雅迪,王雅迪,199元高中双科提分课,199元高中双科提分课,自投放,自有,自产原创,wangjiananbj03,1.23,0,0,0,64.74,0,0,0.00%,0.00%,-,0,0
9e1352a0b0e85eb513255c3095dae807,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1778581775810.9e1352a0b0e85eb513255c3095dae807.mp4,0508-199双科-自产-自产主-李博-视觉锤-雅迪-A1-B4B6-无-12,20260626,0508-199双科-自产-自产主-李博-视觉锤-雅迪-A1-B4B6-无-1220260626,王雅迪,王雅迪,199元高中双科提分课,199元高中双科提分课,自投放,自有,自产原创,wangjiananbj03,0.89,0,0,0,34.23,0,0,0.00%,0.00%,-,0,0
318155ccb9958da2e0a12604b1b4e586,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1781350868621.318155ccb9958da2e0a12604b1b4e586.mp4,0603-199双科-自产-自产主-李博-巽阳-子衿-A2-B1-无-7,20260626,0603-199双科-自产-自产主-李博-巽阳-子衿-A2-B1-无-720260626,贾子矜,贾子矜,199元高中双科提分课,199元高中双科提分课,自投放,自有,自产原创,wangjiananbj03,0.03,0,0,0,30,0,0,0.00%,0.00%,-,0,0
547c75f5cd14b857d73219ac2e2e7014,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1776739926880.547c75f5cd14b857d73219ac2e2e7014.mp4,0415-9物-自产-自产二-李博-云梵-雅迪-A5-B2-有-2,20260626,0415-9物-自产-自产二-李博-云梵-雅迪-A5-B2-有-220260626,王雅迪,王雅迪,9元高中物理李博,9元高中物理李博,申坤,自有,自产原创,wangruixuebj01,0.02,0,0,0,20,0,0,0.00%,0.00%,-,0,0
51246c23feed4c94cec19b65c50e0090,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1782295006226.51246c23feed4c94cec19b65c50e0090.mp4,0617-9物-自产-自产主-李博-视觉锤-雅迪-A5-B2-有-18,20260626,0617-9物-自产-自产主-李博-视觉锤-雅迪-A5-B2-有-1820260626,王雅迪,王雅迪,9元高中物理李博,9元高中物理李博,申坤,自有,自产原创,wangruixuebj01,0.13,0,0,0,32.5,130,0,0.00%,0.00%,-,0,0
f7da06ef25c2dcdd2890d4cee7fa38bd,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1782289746978.f7da06ef25c2dcdd2890d4cee7fa38bd.mp4,0616-199双科-自产-自产主-王晶-曲中雨-小敏-A6-B1-无-4,20260626,0616-199双科-自产-自产主-王晶-曲中雨-小敏-A6-B1-无-420260626,曲敏,曲敏,199元高中双科提分课,199元高中双科提分课,自投放,自有,自产原创,wangjiananbj03,0.1,0,0,0,50,0,0,0.00%,0.00%,-,0,0
0ad5dc2ea53cbc4eb99fab7bb7a4daaf,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1782095475215.0ad5dc2ea53cbc4eb99fab7bb7a4daaf.mp4,0611-199双科-自产-自产主-王晶-视觉锤-小敏-A5-B2-无-14,20260626,0611-199双科-自产-自产主-王晶-视觉锤-小敏-A5-B2-无-1420260626,曲敏,曲敏,199元高中双科提分课,199元高中双科提分课,自投放,自有,自产原创,wangjiananbj03,1.43,0,0,0,143,0,0,0.00%,0.00%,-,0,0
a4612b72c6793f24248f4bbde512bf46,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1781681454091.a4612b72c6793f24248f4bbde512bf46.mp4,0610-9物-自产-自产主-李博-视觉锤-雅迪-A5-B2-有-16,20260626,0610-9物-自产-自产主-李博-视觉锤-雅迪-A5-B2-有-1620260626,王雅迪,王雅迪,9元高中物理李博,9元高中物理李博,申坤,自有,自产原创,wangruixuebj01,0.01,0,0,0,5,0,0,0.00%,0.00%,-,0,0
ca88554d8b6ce54a19b7bea8a2ccc1db,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1782297188008.ca88554d8b6ce54a19b7bea8a2ccc1db.mp4,0616-199双科-自产-自产二-王晶-曲中雨-婷玉-A7-B1-有-10,20260626,0616-199双科-自产-自产二-王晶-曲中雨-婷玉-A7-B1-有-1020260626,吴婷玉,吴婷玉,199元高中双科提分课,199元高中双科提分课,自投放,自有,自产原创,wangjiananbj03,0.21,0,0,0,42,0,0,0.00%,0.00%,-,0,0
