素材预览,素材名称,日期,编导确认,上传人,投放产品,素材投放产品,代理商,来源,生产属性,市场员,消耗,成交GMV,成交单量,ROI,CPM（千次曝光成本）,千次有效观看成本,CPA,CTR,CVR,3s播放率,千次曝光成交率,千次观看成交
https://tutor-online1.fbcontent.cn/growth/internal-material/1779442327585.dea61f08d7d1fca00d9e6bfaf25aaa3b.mp4,0521-9物-自产-自产二-李博-曲中雨-小敏-A5效果保证-B2提分刚需-有-18,20260611,小敏,曲敏,9元高中物理李博,9元高中物理李博,申坤,自有,自产原创,wangruixuebj01,0.01,0,0,0,10,0,0,0.00%,0.00%,-,0,0
https://tutor-online1.fbcontent.cn/growth/internal-material/1775548228196.26a83dce037b3511a91d0fef75e0e59b.mp4,0401-9物-自产-自产二-李博-曲中雨-子衿-A3-B1-无-23,20260611,子矜,贾子矜,9元高中物理李博,9元高中物理李博,玄武,自有,自产原创,wangruixuebj01,17.77,0,0,0,209.06,17770,0,1.18%,0%,-,0,0
https://tutor-online1.fbcontent.cn/growth/internal-material/1780975966638.890930e5349fe24d3dc3aecd08737c02.mp4,0527-9物-自产-自产二-李博-曲中雨-子衿-A5-B2-有-7,20260611,子矜,韩晨国,9元高中物理李博,9元高中物理李博,申坤,自有,自产原创,wangruixuebj01,0.33,0,0,0,165,0,0,0.00%,0.00%,-,0,0
https://tutor-online1.fbcontent.cn/growth/internal-material/1775548229416.c1cd5fb7814f25b1cce9b2d6e3a038f5.mp4,0401-9物-自产-自产二-李博-曲中雨-子衿-A3-B1-有-23-前贴2,20260611,子矜,贾子矜,9元高中物理李博,9元高中物理李博,玄武,自有,自产原创,wangruixuebj01,1.63,0,0,0,326,0,0,0.00%,0.00%,-,0,0
https://tutor-online1.fbcontent.cn/growth/internal-material/1780984422526.8bdc1ba34ce2e8b68499b3b7518c151c.mp4,0526-199双科-自产-自产主-王晶-亿晨-子衿-A5-B2-有-5,20260611,子矜,贾子矜,199元高中双科提分课,199元高中双科提分课,自投放,自有,自产原创,wangjiananbj03,15.71,0,0,0,48.34,5236.67,0,10.77%,0%,-,0,0
https://tutor-online1.fbcontent.cn/growth/internal-material/1780984422526.8bdc1ba34ce2e8b68499b3b7518c151c.mp4,0526-199双科-自产-自产主-王晶-亿晨-子衿-A5-B2-有-5,20260611,子矜,贾子矜,199元高中双科提分课,199元高中双科提分课,自投放,自有,自产原创,wangjiananbj03,8.28,0,0,0,23.13,8280,0,1.68%,0%,-,0,0
https://tutor-online1.fbcontent.cn/growth/internal-material/1780975963545.d33e5451c6f66a659e0eabca9acbec1b.mp4,0527-9物-自产-自产二-李博-曲中雨-子衿-A6-B1-有-5,20260611,子矜,韩晨国,9元高中物理李博,9元高中物理李博,申坤,自有,自产原创,wangruixuebj01,9.91,0,0,0,247.75,0,0,0.00%,0.00%,-,0,0
https://tutor-online1.fbcontent.cn/growth/internal-material/1780397766113.cd4f635687beaa20e346a767501e2797.mp4,0527-9物-自产-自产二-李博-曲中雨-浩正-A5-B1-无-14-直播间,20260611,浩正,杜浩正,9元高中物理李博,9元高中物理李博,申坤,自有,自产原创,wangruixuebj01,1.38,0,0,0,138,0,0,0.00%,0.00%,-,0,0
https://tutor-online1.fbcontent.cn/growth/internal-material/1779470003836.8d668df2abf53bcdf14c11c1295cecbb.mp4,0521-9物-自产-自产二-李博-曲中雨-子衿-A5效果保证-B1效果方法体系-有-4,20260611,子矜,贾子矜,9元高中物理李博,9元高中物理李博,十人,自有,自产原创,wangruixuebj01,3736.55,108,12,0.03,210.12,18406.65,311.38,1.53%,4.41%,-,0.67,532.02
https://tutor-online1.fbcontent.cn/growth/internal-material/1780975965281.f6239f34d1472a35204b53e68b3f482f.mp4,0527-9物-自产-自产主-李博-曲中雨-子衿-A5-B2-有-7,20260611,子矜,韩晨国,9元高中物理李博,9元高中物理李博,申坤,自有,自产原创,wangruixuebj01,7.78,0,0,0,75.53,0,0,0.97%,0%,-,0,0
