签名,渠道,广告账户ID,广告计划ID,抖音号名称（id）,平台素材ID,素材预览,素材名称,日期,素材标签,上传人,编导确认,投放产品,素材投放产品,代理商,来源,生产属性,市场员,消耗,成交GMV,成交单量,ROI,CPM（千次曝光成本）,千次有效观看成本,CPA,CTR,CVR,3s播放率,千次曝光成交率,千次观看成交
884e9a41a94c31ffc5b5598a97f67c8c,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1780394060654.884e9a41a94c31ffc5b5598a97f67c8c.mp4,0527-9物-自产-自产主-李博-曲中雨-子衿-A7-B2-有-6,20260702,,贾子矜,贾子矜,9元高中物理李博,9元高中物理李博,申坤,自有,自产原创,wangruixuebj01,403,9,1,0.02,92.3,6948.28,403,1.44%,1.59%,-,0.23,155.17
1e085a899cb2c34d8869dab320dbff7c,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1782490321857.1e085a899cb2c34d8869dab320dbff7c.mp4,0617-9物-自产-自产二-李博-简末-子衿-A6-B5-有-8,20260702,,贾子矜,贾子矜,9元高中物理李博,9元高中物理李博,申坤,自有,自产原创,wangruixuebj01,1.52,0,0,0,66.09,760,0,8.70%,0%,-,0,0
0160feecc373049bf2569ea1336c346c,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1782490319301.0160feecc373049bf2569ea1336c346c.mp4,0617-9物-自产-自产二-李博-简末-子衿-A6-B2-有-5,20260702,,贾子矜,贾子矜,9元高中物理李博,9元高中物理李博,申坤,自有,自产原创,wangruixuebj01,22.89,0,0,0,124.4,11445,0,1.09%,0%,-,0,0
c3d55ddec117721bb43ff46a2e070ab9,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1780369784412.c3d55ddec117721bb43ff46a2e070ab9.mp4,0527-9物-自产-自产主-李博-视觉锤-雅迪-A5-B1-无-16,20260702,,王雅迪,王雅迪,9元高中物理李博,9元高中物理李博,申坤,自有,自产原创,wangruixuebj01,0.2,0,0,0,200,0,0,0.00%,0.00%,-,0,0
1af3ac98835302c4de6b3fe9fb7b2444,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1779701509612.1af3ac98835302c4de6b3fe9fb7b2444.mp4,0520-199双科-自产-自产二-李博-曲中雨-浩正-A5-B2-无-8,20260702,,杜浩正,杜浩正,199元高中双科提分课,199元高中双科提分课,自投放,自有,自产原创,wangjiananbj03,0.82,0,0,0,17.08,0,0,0.00%,0.00%,-,0,0
903492b09d41e2af7abf48f28bf0a43a,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1775810370235.903492b09d41e2af7abf48f28bf0a43a.mp4,0317-199物-自产-自产二-李博-曲中雨-浩正-A6-B2-有-22,20260702,,杜浩正,杜浩正,199元高中双科提分课,199元高中双科提分课,自投放,自有,自产原创,wangjiananbj03,0.03,0,0,0,3.75,0,0,0.00%,0.00%,-,0,0
367454f90249403bc204000de42c03e2,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1782471930718.367454f90249403bc204000de42c03e2.mp4,0618-9物-自产-自产主--曲中雨-浩正-书展--无-28,20260702,,杜浩正,杜浩正,9元高中物理李博,9元高中物理李博,申坤,自有,自产原创,wangruixuebj01,6.1,0,0,0,83.56,6100,0,1.37%,0%,-,0,0
a6cabfad2809c3f4213a8121a7dc70e1,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1782490319250.a6cabfad2809c3f4213a8121a7dc70e1.mp4,0617-9物-自产-自产二-李博-简末-子衿-A5-B2-有-2,20260702,,贾子矜,贾子矜,9元高中物理李博,9元高中物理李博,申坤,自有,自产原创,wangruixuebj01,122.25,0,0,0,105.66,5556.82,0,2.07%,0%,-,0,0
32e374d54463b81e210038e4ab38d068,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1782095475207.32e374d54463b81e210038e4ab38d068.mp4,0611-199双科-自产-自产主-王晶-视觉锤-小敏-A7-B1-无-13,20260702,,曲敏,曲敏,199元高中双科提分课,199元高中双科提分课,自投放,自有,自产原创,wangjiananbj03,23.74,0,0,0,447.92,23740,0,1.89%,0%,-,0,0
4ad48ec1d9b5711d75989743c70b3134,-,-,-,-,-,https://tutor-online1.fbcontent.cn/growth/internal-material/1781580787142.4ad48ec1d9b5711d75989743c70b3134.mp4,0610-9物-自产-自产二-李博-曲中雨-浩正-A5-B1-无-12,20260702,,杜浩正,杜浩正,9元高中物理李博,9元高中物理李博,申坤,自有,自产原创,wangruixuebj01,0,0,0,0,0,0,0,0.00%,0.00%,-,0,0
